"TestIndex","TestId","Pass","Symbol","MarketGroup","Segment","FromDate","ToDate","SetFile","Report","ExpectedReport"
"48","0048_Pass3044_US100_VAL","3044","US100","Indices","VAL","2014.09.15","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass3044.set","reports\funded_cross_symbol\US100_D1StopLossSplit_Funded_Pass3044_VAL_20140915_20180101.xml","reports\funded_cross_symbol\US100_D1StopLossSplit_Funded_Pass3044_VAL_20140915_20180101.xml.htm"
"49","0049_Pass3044_US100_OOS","3044","US100","Indices","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass3044.set","reports\funded_cross_symbol\US100_D1StopLossSplit_Funded_Pass3044_OOS_20180101_20260601.xml","reports\funded_cross_symbol\US100_D1StopLossSplit_Funded_Pass3044_OOS_20180101_20260601.xml.htm"
"50","0050_Pass3044_UK100_IS","3044","UK100","Indices","IS","2000.01.01","2012.01.01","ImpulseContinuation_EURUSD_Funded_Pass3044.set","reports\funded_cross_symbol\UK100_D1StopLossSplit_Funded_Pass3044_IS_20000101_20120101.xml","reports\funded_cross_symbol\UK100_D1StopLossSplit_Funded_Pass3044_IS_20000101_20120101.xml.htm"
"51","0051_Pass3044_UK100_VAL","3044","UK100","Indices","VAL","2012.01.01","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass3044.set","reports\funded_cross_symbol\UK100_D1StopLossSplit_Funded_Pass3044_VAL_20120101_20180101.xml","reports\funded_cross_symbol\UK100_D1StopLossSplit_Funded_Pass3044_VAL_20120101_20180101.xml.htm"
"52","0052_Pass3044_UK100_OOS","3044","UK100","Indices","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass3044.set","reports\funded_cross_symbol\UK100_D1StopLossSplit_Funded_Pass3044_OOS_20180101_20260601.xml","reports\funded_cross_symbol\UK100_D1StopLossSplit_Funded_Pass3044_OOS_20180101_20260601.xml.htm"
"53","0053_Pass3634_EURUSD_IS","3634","EURUSD","FX","IS","2000.01.01","2012.01.01","ImpulseContinuation_EURUSD_Funded_Pass3634.set","reports\funded_cross_symbol\EURUSD_D1StopLossSplit_Funded_Pass3634_IS_20000101_20120101.xml","reports\funded_cross_symbol\EURUSD_D1StopLossSplit_Funded_Pass3634_IS_20000101_20120101.xml.htm"
"54","0054_Pass3634_EURUSD_VAL","3634","EURUSD","FX","VAL","2012.01.01","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass3634.set","reports\funded_cross_symbol\EURUSD_D1StopLossSplit_Funded_Pass3634_VAL_20120101_20180101.xml","reports\funded_cross_symbol\EURUSD_D1StopLossSplit_Funded_Pass3634_VAL_20120101_20180101.xml.htm"
"55","0055_Pass3634_EURUSD_OOS","3634","EURUSD","FX","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass3634.set","reports\funded_cross_symbol\EURUSD_D1StopLossSplit_Funded_Pass3634_OOS_20180101_20260601.xml","reports\funded_cross_symbol\EURUSD_D1StopLossSplit_Funded_Pass3634_OOS_20180101_20260601.xml.htm"
"56","0056_Pass3634_GBPUSD_IS","3634","GBPUSD","FX","IS","2000.01.01","2012.01.01","ImpulseContinuation_EURUSD_Funded_Pass3634.set","reports\funded_cross_symbol\GBPUSD_D1StopLossSplit_Funded_Pass3634_IS_20000101_20120101.xml","reports\funded_cross_symbol\GBPUSD_D1StopLossSplit_Funded_Pass3634_IS_20000101_20120101.xml.htm"
"57","0057_Pass3634_GBPUSD_VAL","3634","GBPUSD","FX","VAL","2012.01.01","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass3634.set","reports\funded_cross_symbol\GBPUSD_D1StopLossSplit_Funded_Pass3634_VAL_20120101_20180101.xml","reports\funded_cross_symbol\GBPUSD_D1StopLossSplit_Funded_Pass3634_VAL_20120101_20180101.xml.htm"
"58","0058_Pass3634_GBPUSD_OOS","3634","GBPUSD","FX","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass3634.set","reports\funded_cross_symbol\GBPUSD_D1StopLossSplit_Funded_Pass3634_OOS_20180101_20260601.xml","reports\funded_cross_symbol\GBPUSD_D1StopLossSplit_Funded_Pass3634_OOS_20180101_20260601.xml.htm"
"59","0059_Pass3634_USDJPY_IS","3634","USDJPY","FX","IS","2000.01.01","2012.01.01","ImpulseContinuation_EURUSD_Funded_Pass3634.set","reports\funded_cross_symbol\USDJPY_D1StopLossSplit_Funded_Pass3634_IS_20000101_20120101.xml","reports\funded_cross_symbol\USDJPY_D1StopLossSplit_Funded_Pass3634_IS_20000101_20120101.xml.htm"
"60","0060_Pass3634_USDJPY_VAL","3634","USDJPY","FX","VAL","2012.01.01","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass3634.set","reports\funded_cross_symbol\USDJPY_D1StopLossSplit_Funded_Pass3634_VAL_20120101_20180101.xml","reports\funded_cross_symbol\USDJPY_D1StopLossSplit_Funded_Pass3634_VAL_20120101_20180101.xml.htm"
"61","0061_Pass3634_USDJPY_OOS","3634","USDJPY","FX","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass3634.set","reports\funded_cross_symbol\USDJPY_D1StopLossSplit_Funded_Pass3634_OOS_20180101_20260601.xml","reports\funded_cross_symbol\USDJPY_D1StopLossSplit_Funded_Pass3634_OOS_20180101_20260601.xml.htm"
"62","0062_Pass3634_EURJPY_IS","3634","EURJPY","FX","IS","2000.01.01","2012.01.01","ImpulseContinuation_EURUSD_Funded_Pass3634.set","reports\funded_cross_symbol\EURJPY_D1StopLossSplit_Funded_Pass3634_IS_20000101_20120101.xml","reports\funded_cross_symbol\EURJPY_D1StopLossSplit_Funded_Pass3634_IS_20000101_20120101.xml.htm"
"63","0063_Pass3634_EURJPY_VAL","3634","EURJPY","FX","VAL","2012.01.01","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass3634.set","reports\funded_cross_symbol\EURJPY_D1StopLossSplit_Funded_Pass3634_VAL_20120101_20180101.xml","reports\funded_cross_symbol\EURJPY_D1StopLossSplit_Funded_Pass3634_VAL_20120101_20180101.xml.htm"
